geolocation_zip_state_id,geolocation_zip_code_prefix,geolocation_state,region_id,representative_city,observation_count,distinct_city_count,latitude_mean_all,longitude_mean_all,latitude_mean_in_broad_bbox,longitude_mean_in_broad_bbox,broad_bbox_outlier_count
30532-MG,30532,MG,MG,belo horizonte,27,1,-19.939031,-44.004111,-19.939031,-44.004111,0
30535-MG,30535,MG,MG,belo horizonte,217,1,-19.923885,-43.991459,-19.923885,-43.991459,0
30540-MG,30540,MG,MG,belo horizonte,1,1,-19.962974,-43.995197,-19.962974,-43.995197,0
30550-MG,30550,MG,MG,belo horizonte,179,1,-19.943615,-43.981847,-19.943615,-43.981847,0
30555-MG,30555,MG,MG,belo horizonte,51,1,-19.953865,-43.977657,-19.953865,-43.977657,0
30570-MG,30570,MG,MG,belo horizonte,203,1,-19.958061,-43.978911,-19.958061,-43.978911,0
30575-MG,30575,MG,MG,belo horizonte,652,1,-19.973801,-43.972640,-19.973801,-43.972640,0
30580-MG,30580,MG,MG,belo horizonte,97,1,-19.962205,-43.987191,-19.962205,-43.987191,0
30590-MG,30590,MG,MG,belo horizonte,56,1,-19.962329,-43.993601,-19.962329,-43.993601,0
30610-MG,30610,MG,MG,belo horizonte,88,1,-19.962987,-44.003135,-19.962987,-44.003135,0
30620-MG,30620,MG,MG,belo horizonte,227,1,-19.983319,-44.001374,-19.983319,-44.001374,0
30622-MG,30622,MG,MG,belo horizonte,77,1,-19.987746,-43.991493,-19.987746,-43.991493,0
30624-MG,30624,MG,MG,belo horizonte,50,1,-19.995833,-43.996783,-19.995833,-43.996783,0
30626-MG,30626,MG,MG,belo horizonte,146,1,-20.001771,-44.010200,-20.001771,-44.010200,0
30627-MG,30627,MG,MG,belo horizonte,24,1,-19.995354,-44.020444,-19.995354,-44.020444,0
30628-MG,30628,MG,MG,belo horizonte,36,1,-20.000018,-43.995099,-20.000018,-43.995099,0
30640-MG,30640,MG,MG,belo horizonte,211,1,-19.977377,-44.020641,-19.977377,-44.020641,0
30642-MG,30642,MG,MG,belo horizonte,111,1,-19.983132,-44.012224,-19.983132,-44.012224,0
30644-MG,30644,MG,MG,belo horizonte,100,1,-19.989981,-44.013182,-19.989981,-44.013182,0
30660-MG,30660,MG,MG,belo horizonte,105,1,-19.985952,-44.024958,-19.985952,-44.024958,0
30662-MG,30662,MG,MG,belo horizonte,146,1,-19.985612,-44.041192,-19.985612,-44.041192,0
30664-MG,30664,MG,MG,belo horizonte,85,1,-20.001275,-44.036829,-20.001275,-44.036829,0
30666-MG,30666,MG,MG,belo horizonte,53,1,-20.010274,-44.030732,-20.010274,-44.030732,0
30668-MG,30668,MG,MG,belo horizonte,67,1,-20.000857,-44.028907,-20.000857,-44.028907,0
30670-MG,30670,MG,MG,belo horizonte,57,1,-20.002546,-44.021351,-20.002546,-44.021351,0
30672-MG,30672,MG,MG,belo horizonte,58,1,-20.025058,-44.069057,-20.025058,-44.069057,0
30686-MG,30686,MG,MG,belo horizonte,1,1,-19.996132,-44.033213,-19.996132,-44.033213,0
30690-MG,30690,MG,MG,belo horizonte,137,1,-19.977665,-44.049697,-19.977665,-44.049697,0
30692-MG,30692,MG,MG,belo horizonte,82,1,-19.986748,-44.048598,-19.986748,-44.048598,0
30710-MG,30710,MG,MG,belo horizonte,226,1,-19.913380,-43.958702,-19.913380,-43.958702,0
30720-MG,30720,MG,MG,belo horizonte,382,1,-19.914323,-43.975703,-19.914323,-43.975703,0
30730-MG,30730,MG,MG,belo horizonte,149,1,-19.915305,-43.986883,-19.915305,-43.986883,0
30750-MG,30750,MG,MG,belo horizonte,84,1,-19.900091,-43.978118,-19.900091,-43.978118,0
30760-MG,30760,MG,MG,belo horizonte,1,1,-19.908098,-43.961818,-19.908098,-43.961818,0
30770-MG,30770,MG,MG,belo horizonte,153,1,-19.906487,-43.970785,-19.906487,-43.970785,0
30775-MG,30775,MG,MG,belo horizonte,88,1,-19.896491,-43.968757,-19.896491,-43.968757,0
30810-MG,30810,MG,MG,belo horizonte,88,1,-19.897717,-43.985176,-19.897717,-43.985176,0
30820-MG,30820,MG,MG,belo horizonte,87,1,-19.905928,-43.996784,-19.905928,-43.996784,0
30830-MG,30830,MG,MG,belo horizonte,105,1,-19.902539,-44.003285,-19.902539,-44.003285,0
30840-MG,30840,MG,MG,belo horizonte,255,1,-19.890278,-43.999366,-19.890278,-43.999366,0
30850-MG,30850,MG,MG,belo horizonte,120,1,-19.920046,-44.004051,-19.920046,-44.004051,0
30855-MG,30855,MG,MG,belo horizonte,48,1,-19.922115,-44.013582,-19.922115,-44.013582,0
30860-MG,30860,MG,MG,belo horizonte,27,1,-19.919124,-44.009741,-19.919124,-44.009741,0
30865-MG,30865,MG,MG,belo horizonte,72,1,-19.913434,-44.021664,-19.913434,-44.021664,0
30870-MG,30870,MG,MG,belo horizonte,95,1,-19.906858,-44.008973,-19.906858,-44.008973,0
30880-MG,30880,MG,MG,belo horizonte,124,1,-19.902438,-44.016720,-19.902438,-44.016720,0
30881-MG,30881,MG,MG,belo horizonte,87,1,-19.895534,-44.015475,-19.895534,-44.015475,0
30882-MG,30882,MG,MG,belo horizonte,159,1,-19.881620,-44.009341,-19.881620,-44.009341,0
31010-MG,31010,MG,MG,belo horizonte,160,1,-19.915081,-43.917558,-19.915081,-43.917558,0
31015-MG,31015,MG,MG,belo horizonte,163,1,-19.911128,-43.925737,-19.911128,-43.925737,0
31030-MG,31030,MG,MG,belo horizonte,299,1,-19.906121,-43.923704,-19.906121,-43.923704,0
31035-MG,31035,MG,MG,belo horizonte,286,1,-19.898269,-43.920570,-19.898269,-43.920570,0
31050-MG,31050,MG,MG,belo horizonte,137,1,-19.898570,-43.895245,-19.898570,-43.895245,0
31060-MG,31060,MG,MG,belo horizonte,131,1,-19.893941,-43.903856,-19.893941,-43.903856,0
31070-MG,31070,MG,MG,belo horizonte,160,1,-19.888610,-43.898059,-19.888610,-43.898059,0
31080-MG,31080,MG,MG,belo horizonte,119,1,-19.884867,-43.909297,-19.884867,-43.909297,0
