date_id,date,day_of_month,day_of_week_iso,day_name,day_name_short,week_start_date,iso_week,iso_year,month_number,month_name,month_name_short,year_month,quarter_number,year_quarter,year,is_weekend,is_month_end
20161203,2016-12-03,3,6,Saturday,Sat,2016-11-28,48,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161204,2016-12-04,4,7,Sunday,Sun,2016-11-28,48,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161205,2016-12-05,5,1,Monday,Mon,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161206,2016-12-06,6,2,Tuesday,Tue,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161207,2016-12-07,7,3,Wednesday,Wed,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161208,2016-12-08,8,4,Thursday,Thu,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161209,2016-12-09,9,5,Friday,Fri,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161210,2016-12-10,10,6,Saturday,Sat,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161211,2016-12-11,11,7,Sunday,Sun,2016-12-05,49,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161212,2016-12-12,12,1,Monday,Mon,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161213,2016-12-13,13,2,Tuesday,Tue,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161214,2016-12-14,14,3,Wednesday,Wed,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161215,2016-12-15,15,4,Thursday,Thu,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161216,2016-12-16,16,5,Friday,Fri,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161217,2016-12-17,17,6,Saturday,Sat,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161218,2016-12-18,18,7,Sunday,Sun,2016-12-12,50,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161219,2016-12-19,19,1,Monday,Mon,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161220,2016-12-20,20,2,Tuesday,Tue,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161221,2016-12-21,21,3,Wednesday,Wed,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161222,2016-12-22,22,4,Thursday,Thu,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161223,2016-12-23,23,5,Friday,Fri,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161224,2016-12-24,24,6,Saturday,Sat,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161225,2016-12-25,25,7,Sunday,Sun,2016-12-19,51,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,0
20161226,2016-12-26,26,1,Monday,Mon,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161227,2016-12-27,27,2,Tuesday,Tue,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
